software,spearman,spearman_pvalue,>=R2
synapse-1.1,0.358776722,0.01,0.65
synapse-1.1,0.358776722,0.01,0.6
synapse-1.1,0.358776722,0.01,0.55
synapse-1.1,0.358776722,0.01,0.5
synapse-1.1,0.358776722,0.01,0.45
synapse-1.1,0.358776722,0.01,0.4
synapse-1.1,0.358776722,0.01,0.35
synapse-1.1,0.358776722,0.01,0.3
synapse-1.1,0.358776722,0.01,0.25
synapse-1.1,0.358776722,0.01,0.2
synapse-1.1,0.358776722,0.01,0.15
synapse-1.1,0.358776722,0.01,0.1
synapse-1.1,0.358776722,0.01,0.05
synapse-1.1,0.355140848,0.01,0
xerces-1.2,-0.123658378,0.05,0.95
xerces-1.2,-0.097145791,None,0.9
xerces-1.2,-0.100948383,0.05,0.85
xerces-1.2,-0.082296112,None,0.8
xerces-1.2,-0.066606579,None,0.75
xerces-1.2,-0.058223345,None,0.7
xerces-1.2,-0.058216434,None,0.65
xerces-1.2,-0.058216434,None,0.6
xerces-1.2,-0.058036632,None,0.55
xerces-1.2,-0.060549703,None,0.5
xerces-1.2,-0.060549703,None,0.45
xerces-1.2,-0.060549703,None,0.4
xerces-1.2,-0.060549703,None,0.35
xerces-1.2,-0.060549703,None,0.3
xerces-1.2,-0.060549703,None,0.25
xerces-1.2,-0.060549703,None,0.2
xerces-1.2,-0.060549703,None,0.15
xerces-1.2,-0.060549703,None,0.1
xerces-1.2,-0.060549703,None,0.05
xerces-1.2,-0.068009479,None,0
