software,spearman,spearman_pvalue,>=R2
xerces-1.2,0.081619389,None,0.6
xerces-1.2,0.080972928,None,0.55
xerces-1.2,0.081689177,None,0.5
xerces-1.2,0.081689177,None,0.45
xerces-1.2,0.081689177,None,0.4
xerces-1.2,0.081689177,None,0.35
xerces-1.2,0.081689177,None,0.3
xerces-1.2,0.081689177,None,0.25
xerces-1.2,0.081689177,None,0.2
xerces-1.2,0.081689177,None,0.15
xerces-1.2,0.081689177,None,0.1
xerces-1.2,0.081689177,None,0.05
xerces-1.2,0.071898464,None,0
